ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
66812,Audio,Hirundo rustica,Barn Swallow,,,"Gunn, William W. H. ",1970,5,29,0,Canada,Alberta,,Jasper National Park; Bridge At Maligne Lake,,,,,song,,Certain,Sight and Sound,,,2,0,42,,,,,,,,,,," NOTES: fairly continuous singing.  level a bit low.  Also: roar of river, traffic  Q",,,Aves,Passeriformes,Hirundinidae,208500
45317,Audio,Hirundo rustica,Barn Swallow,Agelaius phoeniceus -- Red-winged Blackbird,,"Little, Randolph S",1989,6,5,855,United States,California,Plumas,20.0 km N of Sierraville; Dyson Lane; Marble Hot Springs,39.75,-120.35,1500,Adult Male (1),Social context: mixed; call,Natural,Uncertain,Sight and Sound,,,2,0,25,NAGRA E,,,Mono,,,,Wetland; Freshwater; Pasture,,," NOTES: (Species Sound: constant);(Breeding Status: not territorial, breeding);(Behavioral Context: ? mate contact, ? flock contact, ? contentment);(Strata in Habitat: song perch);(General Climate: arid);(Weather: clouds around horizon only);(Cover Density: open);(Water Association: marsh);(Field Recorder: Nagra E #461)",,,Aves,Passeriformes,Hirundinidae,198420
44367,Audio,Hirundo rustica,Barn Swallow,,,"Budney, Gregory F",1989,6,4,1700,United States,California,Plumas,N of Sattley; Sierra Valley; Dyson Lane,39.7629,-120.3474167,,,call; fly,Natural,Certain,Sight and Sound,,,2,0,79,NAGRA IV-SD,Sennheiser MKH 805,,Mono,,,,,,,"""Whit"" notes from birds in flight.  BP-2 filter was enabled for this recording.",,,Aves,Passeriformes,Hirundinidae,198420
33934,Audio,Hirundo rustica,Barn Swallow,,,"Parker, III, Theodore A",1984,2,9,1130,Peru,Arequipa,,5.0 km S of Mollendo; Lluta Valley,-17.0,-72.1,5,,call,Natural,Certain,Sight,,,2,0,26,NAGRA IV-B,,,Mono,,,,Park/Campus/Cemetery; Rural,,,, Number of individuals=AU1+; ,,Aves,Passeriformes,Hirundinidae,198420
26142,Audio,Hirundo rustica,Barn Swallow,,,"Davis, Thomas H",1980,6,14,410,United States,New York,Suffolk,SUFFOLK COUNTY; CAPTREE ISLAND,,,,,call,Natural,Certain,Sound,,,2,0,166,UHER CR 240,,,Mono,,,,,,,, Number of individuals=AU2+; ,,Aves,Passeriformes,Hirundinidae,198420
8057,Audio,Hirundo rustica,Barn Swallow,,,"Stein, Robert C; Little, Randolph S",1959,6,20,800,Canada,British Columbia,,Smithers,,,460,Adult Unknown Sex (2),perform nest relief,,Not Provided,,,,2,0,3,MAGNEMITE UNSPECIFIED MODEL,,Parabola 101.6cm (40in),Mono,,,,Lake,,, NOTES: NEAR COTTAGE ON LAKE. ONE SWALLOW CHANGING PLACES WITH THE OTHER ON THEIR NEST UNDER THE EAVES OF ONE OF THE COTTAGES.  2 ADULT(S),,,Aves,Passeriformes,Hirundinidae,198420
88127,Audio,Hirundo rustica,Barn Swallow,Cecropis abyssinica -- Lesser Striped-Swallow; Centropus cupreicaudus -- Coppery-tailed Coucal; Merops nubicoides -- Southern Carmine Bee-eater,,"Macaulay, Linda R",1997,12,31,1830,Botswana,,,Okavango Delta; Xigera Camp,-19.5,22.5,930,,call; establish flock contact; forage,Natural,Certain,Sight and Sound,,,1,0,122,SONY TC-D5 PRO II,,,Mono,,,,Wetland; River,,,NOTES: Thousands of Hirundo rustica were seen over the main channel of the river hawking insects and coming down for the night. They came down from about 150 feet over us to 75 feet over us., Number of individuals=UU1000+; ,,Aves,Passeriformes,Hirundinidae,198420
79511,Audio,Hirundo rustica,Barn Swallow,,,"Macaulay, Linda R",1995,10,22,1230,Malaysia,,,Kampong Gula; Kuala Gula,5.0,100.6,,,call; establish flock contact; forage,Natural,Certain,Sight and Sound,,,1,0,47,SONY TC-D5 PRO II,,,Mono,,,,,,,NOTES: Flock hawking insects over mangroves,,,Aves,Passeriformes,Hirundinidae,198420
8067,Audio,Hirundo rustica,Barn Swallow,Dinemellia dinemelli -- White-headed Buffalo-Weaver; Plocepasser mahali -- White-browed Sparrow-Weaver; Andropadus importunus -- Sombre Greenbul,,"North, Myles E. W. ",1965,4,3,1000,Kenya,Coast,,VOI; BELOW SAGALLA ON THE TOWER ROAD,,,,,call; fly; forage,,Not Provided,,,,1,0,212,UHER 4000S,,Parabola 43.2cm (17in),Mono,,,,,,," NOTES:  Cover density: OPEN; H.R. RUSTICA. ACACIA COMMIPHORA, DRY WOODLAND WITH OPEN GRASSY PLAINS. SEQUENCE OF THE 'VIT' CALLS OF THIS SPECIES FLYING CLOSE BY NORTH OFTEN WITHIN THREE METERS OF HIM. BIRDS WERE FEEDING ON INSECTS JUST HATCHING AFTER A RAIN. ON TAPE DATE IS ANNOUNCED AS THE 4TH. ACTUALLY THE DATE OF THE RECORDING IS THE 3RD. LNS NOTE: Unbroken cut with internal recordist announcement/handling noise gain change (MJA, 06 July 2005).",,,Aves,Passeriformes,Hirundinidae,198420
8062,Audio,Hirundo rustica,Barn Swallow,Haemorhous purpureus -- Purple Finch; Setophaga ruticilla -- American Redstart; Spizella passerina -- Chipping Sparrow; Melospiza melodia -- Song Sparrow,,"Stein, Robert C; Little, Randolph S",1962,6,6,0,United States,Maine,,MT. KATAHDIN; E SIDE OF RIVER,,,,,call,,Not Provided,,,,1,0,83,NAGRA III-B,,,Mono,,,,,,, NOTES: LOW NOTES AND CHURRS - NOT TYPICAL FLIGHT SONG. GATHERING NESTING MUD AT MUD PUDDLE IN PICNIC AREA. Other recordist(s): BONDESEN P.;,,,Aves,Passeriformes,Hirundinidae,198420
8061,Audio,Hirundo rustica,Barn Swallow,,,"Sutherland, Charles A",1961,7,23,700,United States,Washington,,WESTPORT,,,,,,,Not Provided,,,,1,0,15,NAGRA III,,Parabola 91.4cm (36in),Mono,,,,Park/Campus/Cemetery,,, NOTES: PASTURE AND BARN.,,,Aves,Passeriformes,Hirundinidae,198420
8053,Audio,Hirundo rustica,Barn Swallow,,,"Reynard, George B",1957,6,12,1200,United States,Delaware,,BOMBAY HOOK NATIONAL WILDLIFE REFUGE,39.3333333,-75.5,,,,,Not Provided,,,,1,0,30,MAGNEMITE UNSPECIFIED MODEL,,Parabola 101.6cm (40in),Mono,,,,Wetland; Marine; Meadow; Salt Marsh,,, NOTES:  Weather: WIND; ROADSIDE SALT MARSH MEADOW. SOUNDS MADE BY A GROUP OF BIRDS ASSEMBLED ON A WIRE. NO UNUSUAL ACTIVITY.,,,Aves,Passeriformes,Hirundinidae,198420
115823,Audio,Hirundo rustica,Barn Swallow,,,"Macaulay, Linda R",2000,5,7,645,United States,Texas,,"Cibilo Creek Ranch, Marfa",,,1370,,advertise; call; establish flock contact,Natural,Certain,Sight and Sound,,,0,0,164,SONY TC-D5 PRO II,,,Mono,,,,,,,"NOTES: At ranch building garden, 1 perched calling with others flying by, predawn  digitized with HPF@180-SBA", Number of individuals=AU1+; ,,Aves,Passeriformes,Hirundinidae,198420
107003,Audio,Hirundo rustica,Barn Swallow,,,"Little, Randolph S",1999,6,20,545,United States,New York,Tompkins,3.0 km NE of Ithaca,42.3161111,-76.4636111,330,Adult Male (1),advertise; call; mate,Natural,Certain,Sight and Sound,,,0,0,45,NAGRA IV-D,,Parabola 91.4cm/30.5cm (36in/12in),Mono,,,,Forest; Freshwater; Evergreen Forest; Coniferous Forest; Deciduous Forest; Suburban; Fallow Ag,,Second-growth; Scrub; Edge,,,,Aves,Passeriformes,Hirundinidae,198420
38569,Audio,Hirundo rustica,Barn Swallow,,,"Kibler, Lewis F",1987,6,13,640,United States,New York,Tompkins,SW of Ithaca; Cornell Laboratory of Ornithology,,,,Adult Unknown Sex (1),advertise; song,Natural,Not Provided,,,,0,0,254,NAGRA 4.2,,Aluminum Parabola 76.2cm (30in),Mono,,,,Forest; Park/Campus/Cemetery,,, NOTES: (Species Sound:  Frequent;  Breeding Status:  Territorial) Singing from top of flag pole.    ,,,Aves,Passeriformes,Hirundinidae,198420
