ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
191285,Audio,Megaceryle alcyon,Belted Kingfisher,,,"Little, Randolph S",2003,7,14,615,United States,New York,Schuyler,3.6 km NW of Cayuta,42.3275,-76.7227778,380,Adult Unknown Sex (1),call; contact; fly,Natural,Certain,Sight and Sound,,,2,0,27,NAGRA IV-D,Sennheiser MKH 404,Parabola 91.4cm (36in),Mono,,,,,,,"Habitat: Woods, riparian",,,Aves,Coraciiformes,Alcedinidae,97320
181576,Audio,Megaceryle alcyon,Belted Kingfisher,Regulus calendula -- Ruby-crowned Kinglet; Ixoreus naevius -- Varied Thrush,,"Budney, Gregory F",2013,5,25,811,United States,Alaska,Skagway-Hoonah-Angoon,Driveway to Hank Ludfer's(sp?) house,,,,Adult Unknown Sex (1),call; emit alarm; fly,Natural,Certain,Sight and Sound,,,2,0,240,NAGRA ARES-BB+,Telinga Pro 8,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,Flushed by a Merlin in the second segment.,,,Aves,Coraciiformes,Alcedinidae,97320
146825,Audio,Megaceryle alcyon,Belted Kingfisher,,,"Robbins, Mark B",2007,6,3,2035,United States,Missouri,Carter,"Waymeyer Access, W bank Current River",37.0676667,-91.0426667,,Unknown Age Unknown Sex (1),call; mate,Natural,Certain,Sight and Sound,,,2,0,156,NAGRA ARES-BB+,,,Mono,,,,River,,,,,,Aves,Coraciiformes,Alcedinidae,97320
146232,Audio,Megaceryle alcyon,Belted Kingfisher,,,"Robbins, Mark B",2005,6,2,1835,United States,Missouri,Wayne,"St. Francis River, Coldwater Access",37.305,-90.4681667,,,call,Natural,Certain,Sight and Sound,,,2,0,85,SONY TC-D5 PRO II,,,Mono,,,,River,,,,,,Aves,Coraciiformes,Alcedinidae,97320
144022,Audio,Megaceryle alcyon,Belted Kingfisher,,,"Little, Randolph S",2001,5,31,1000,United States,California,Sierra,4.0 km NW of Calpine; Carman Valley,39.6972222,-120.4594444,1525,Adult Unknown Sex (1),arrive; call; mate,Natural,Certain,Sight and Sound,,,2,0,45,NAGRA IV-D,Sennheiser MKH 404,Parabola 91.4cm/30.5cm (36in/12in),Mono,,,,Forest; Grassland; Freshwater; Evergreen Forest; Coniferous Forest; Deciduous Forest; Montane ,,Second-growth,,,,Aves,Coraciiformes,Alcedinidae,97320
139278,Audio,Megaceryle alcyon,Belted Kingfisher,,,"Pitzrick, Michael S",2007,6,10,638,United States,California,,"",39.703043,-120.462728,1533,Unknown Age Unknown Sex (2),call,Natural,Certain,Sight and Sound,,,2,0,177,FOSTEX FR-2,,,Mono,,,,Forest; Meadow; Creek; Riparian,,, NOTES: Recorded at 48/24 on FR2.       LNS: HPF @ 100Hz on soundBlade Version 1.3. mf,,,Aves,Coraciiformes,Alcedinidae,97320
128936,Audio,Megaceryle alcyon,Belted Kingfisher,,,"Vyn, Gerrit ; Clock, Benjamin M",2005,3,23,0,United States,Arkansas,Desha,"N of Sugarberry Natural Area, White River NWR",,,,,,,Certain,Sight and Sound,,,2,0,71,ZAXCOM DEVA II,,,Stereo,,,,Forest; Deciduous Forest; Swamp,,, NOTES: Deva Drive 11 Partition 2,,,Aves,Coraciiformes,Alcedinidae,97320
59893,Audio,Megaceryle alcyon,Belted Kingfisher,Dryocopus pileatus -- Pileated Woodpecker; Melanerpes carolinus -- Red-bellied Woodpecker,,"Gunn, William W. H. ",1970,3,12,0,United States,Florida,,Janes Memorial Drive   Neara Everglades City,,,,Unknown Age Unknown Sex (1),call,,Certain,Sight and Sound,,,2,0,30,,,,,,,,,,," NOTES: 1 partial ""rattle"", 1 complete rattle. Q 2-3",,,Aves,Coraciiformes,Alcedinidae,97320
59891,Audio,Megaceryle alcyon,Belted Kingfisher,Colaptes auratus -- Northern Flicker; Corvus brachyrhynchos -- American Crow; Setophaga coronata -- Yellow-rumped Warbler; Regulus calendula -- Ruby-crowned Kinglet; Turdus migratorius -- American Robin,,"Gunn, William W. H. ",1958,5,8,0,Canada,Ontario,,Algonquin Park; Lake Of 2 Rivers,,,,Unknown Age Unknown Sex (3),court; fly,,Certain,Sight and Sound,,,2,0,290,MAGNECORDER UNSPECIFIED MODEL,,,Mono,,,,,,,"NOTES: hand reflector  3 birds in aerial courtship flight  (reflector, car, crow, myrtle warbler, robin, ruby-crowned kinglet, flicker)  Q 2-3",,,Aves,Coraciiformes,Alcedinidae,97320
59890,Audio,Megaceryle alcyon,Belted Kingfisher,Haemorhous purpureus -- Purple Finch; Corvus corax -- Common Raven,,"Gunn, William W. H. ",1957,4,24,0,Canada,Ontario,,"Algonquin Park; Lake Of 2 Rivers, Gravel Pit At Curve West Of Picnic Beach",,,,Unknown Age Unknown Sex (3),fly,,Certain,Sight and Sound,,,2,0,120,,,,,,,,,,," NOTES: 3 birds in aerial manoeversAlso: young ravens, purple finch, generator humQ 2-3",,,Aves,Coraciiformes,Alcedinidae,97320
